Product_name,Rating,Price,Discount_rate,Customer_reviews,Category,Sub_Category
UV Sun Protection Arm Sleeves Cooling Sleeves For Outdoor Sports Basketball Warmers Cuffs Arm Covers Skin Care Gloves,4.5,189.0,(-36%),494 Customer reviews,Foot & Hand Care,Other Foot & Hand Care
Garnier Day & Night Vitamin C Booster Serum Routine Pack,4.7,2699.0,37% off,222 Customer reviews,Face,Sets & Kits
"Ginger Slimming Essential Oil, firming and tightening the abdomen, reducing the belly, shaping the thighs and hands of excess fat, natural plant extracts, massage use",4.0,430.0,57% off,32 Customer reviews,Vitamins & Dietary Supplements,Weight Loss
Somali Qasil Powder - Dvee Organics - Natural Exfoliating Scrub and Mask,4.5,499.0,(-16%),235 Customer reviews,Face,Treatments & Masks
Kirkland Minoxidil 5% Extra Strength Hair Regrowth 1 Month with free dropper,4.0,710.0,(-64%),255 Customer reviews,Hair Care,Hair Loss Products
Medical Mesh Nebulizer Portable Inhalator Adult Kids Handheld Mini Silent Steam Nasal Humidifier Inhaler Tools Nebulizer Asthma,4.7,980.0,80% off,19 Customer reviews,Home Tests,Health Tests
2Pcs Vitamin C Face Brightening Serum Vitamin C Serum Moisturizing Serum For Radiant Skin,4.6,299.0,(-70%),450 Customer reviews,Face,Facial Essence
30Pcs/Box Weight Loss Slim Patch Fat Burning Slimming Patch Body Belly Waist Losing Weight Cellulite Fat Burner Sticker Waist Plaster Health Care,4.0,369.0,85% off,313 Customer reviews,Vitamins & Dietary Supplements,Weight Loss
"3pcs Kojie San Skin Lightening Soap - Original Classic Kojic Acid Soap for Dark Spots, Hyperpigmentation, Whitening & Scars - Beauty with Coconut & Tea Tree Oil for Fair glowing Flawless Even Skin",4.6,330.0,(-58%),13 Customer reviews,Body,Soaps
Micolor/Classic 8 Color Correct Concealer makeup Contour Cream Palette,4.4,349.0,42% off,75 Customer reviews,Beauty,Make Up
Geemy Professional Hair/Shaving Machine/kinyozi,4.4,850.0,(-15%),63 Customer reviews,Hair Cutting Tools,Hair Cutting Kits
"SADOER Tumeric moisturizing and skin glowing Skin Care Set: Turmeric Face Cream + Serum+ Toner + 3 Face Masks + Face Cleanser For Treating Dark Spots, Anti-wrinkles & Improving Skin Texture",4.5,1399.0,(-76%),17 Customer reviews,Face,Toners & Astringents
Facial Mask Sheet Pores Moisturizing 24K Gold Vitamin C Hyaluronic Acid Face Mask Facial Moisturizing Firming Hydrating Facial Masks Skin Care Oil-Control Anti-Aging Replenishment Face Care Treatments,4.8,249.0,(-64%),58 Customer reviews,Face,Treatments & Masks
Head Claw Scalp Massager Scratcher Octopus Spider 12 Fingers Manual Wire Tingler Head Release Relax Massage For Deep Stress Relief & Hair Stimulation,4.4,199.0,(-33%),11 Customer reviews,Massage Tools & Equipment,Scalp Massagers
Nail Gel Lamp Manicure kits LED Nail Dryer Nail Manicure Tool UV Portable UV Led Nail Dryer Lamp Nail Kits,4.4,849.0,45% off,393 Customer reviews,Beauty,Make Up
"2L Rubber Hot Water Bag (with cover), Hot Bag, Heating Pad, Hot Water Bag for Pain Relief, Period Pain, Hot Water Bottle, Rubber Bottle (Multicolor)",4.9,639.0,68% off,14 Customer reviews,First Aid,First Aid Kits
